ga_id,url,title,event_period,apply_period,venue,region,phone
3938,http://www.badmintongame.co.kr/game/game_view.html?ga_id=3938,2025 제 6회 페이스콕 전국 배드민턴대회,2025년 12월 1일 ~ 2025년 12월 2일,2025년 8월 11일  ~ 2025년 12월 17일,,전국,
4007,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4007,제17회 충주 중앙탑배(구사과배) 배드민턴대회,2025년 12월 6일 ~ 2025년 12월 7일,2025년 10월 11일  ~ 2025년 12월 1일,,전국,
4045,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4045,(전국대회)제5회 횡성 오픈배 배드민턴 대회,2025년 12월 13일 ~ 2025년 12월 14일,2025년 11월 17일  ~ 2025년 12월 6일,"횡성실내체육관, 횡성국민체육센터",전국,
4059,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4059,제15회 서천군 교육장기 사제동행 배드민턴대회,2025년 12월 20일 ~ 2025년 12월 20일,2025년 10월 29일  ~ 2025년 11월 21일,서천국민체육센터,충남-서천군,
4072,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4072,제17회 철원오대쌀 오픈 배드민턴대회,2025년 12월 20일 ~ 2025년 12월 21일,2025년 12월 8일  ~ 2025년 12월 15일,철원실내체육관(강원도 철원군 갈말읍 갈말로74),전국,
4074,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4074,제9회 성신학생 & 가족 전국 배드민턴대회,2025년 12월 20일 ~ 2025년 12월 20일,2025년 10월 20일  ~ 2025년 12월 5일,강릉시 생활체육센터 2층 배드민턴 전용 경기장,전국,
4075,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4075,제1회 금산활력 전국배드민턴대회,2025년 12월 6일 ~ 2025년 12월 6일,2025년 10월 20일  ~ 2025년 12월 1일,,전국,
4093,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4093,제2회 스펙트럼 전국배드민턴 챔피언쉽,2025년 12월 20일 ~ 2025년 12월 21일,2025년 10월 28일  ~ 2025년 12월 14일,안산시 와동배드민턴 전용구장 외 1개소,전국,
4096,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4096,제19회 부여군협회장기 배드민턴대회,2025년 12월 13일 ~ 2025년 12월 13일,0000년 0월 0일  ~ 0000년 0월 0일,부여군민체육관,전국,
4098,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4098,2025천안시챌린지업배드민턴대회,2025년 12월 6일 ~ 2025년 12월 6일,2025년 11월 10일  ~ 2025년 11월 26일,천안시실내배드민턴장,충남-천안시,
4099,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4099,2025년 새만금 생생 배드민턴대회,2025년 12월 13일 ~ 2025년 12월 13일,2025년 11월 10일  ~ 2025년 12월 9일,,전북,
4101,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4101,제13회 배친소 총회 및 자체대회,2025년 12월 14일 ~ 2025년 12월 14일,0000년 0월 0일  ~ 0000년 0월 0일,,전국,
4103,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4103,제2회 엠스포츠 유소년 전국배드민턴대회,2025년 12월 13일 ~ 2025년 12월 14일,2025년 11월 10일  ~ 2025년 12월 8일,,전국,
4109,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4109,분당구와 함께하는 MZ머니컵,2025년 12월 27일 ~ 2025년 12월 27일,2025년 11월 7일  ~ 2025년 12월 19일,성남실내체육관,전국,
4111,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4111,"3도대항(충북,강원,경북) 배드민턴대회",2025년 12월 20일 ~ 2025년 12월 21일,2025년 11월 20일  ~ 2025년 12월 14일,단양군체육관 서관,전국,
4113,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4113,2025 순창 강천산배 배드민턴대회,2025년 12월 6일 ~ 2025년 12월 6일,0000년 0월 0일  ~ 0000년 0월 0일,순창국민체육센터,전북-순창군,
4114,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4114,제26회 철원군 군수기 배드민턴대회,2025년 12월 6일 ~ 2025년 12월 6일,0000년 0월 0일  ~ 0000년 0월 0일,,강원-철원군,
4116,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4116,2025년 제7회 홍성군 협회장배 배드민턴대회,2025년 12월 7일 ~ 2025년 12월 7일,2025년 11월 17일  ~ 2025년 11월 30일,홍주문화체육센터,전국,
4118,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4118,2025 삼척 사제동행배드민턴대회,2025년 12월 17일 ~ 2025년 12월 17일,0000년 0월 0일  ~ 0000년 0월 0일,진주초 체육관,강원-삼척시,
4119,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4119,제14회 당진시 협회장기 배드민턴대회,2025년 12월 21일 ~ 2025년 12월 21일,2025년 11월 18일  ~ 2025년 12월 11일,,충남-당진시,
4120,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4120,2025년 강원도 철원군 학교 스포츠클럽 교육장배 배드민턴대회,2025년 12월 5일 ~ 2025년 12월 5일,0000년 0월 0일  ~ 0000년 0월 0일,,전국,
4121,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4121,2025 강릉사제동행배드민턴 스포츠클럽대회,2025년 12월 6일 ~ 2025년 12월 6일,0000년 0월 0일  ~ 0000년 0월 0일,,전국,
4122,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4122,제1회 특별한 청양 & 루틴 전국배드민턴대회,2025년 12월 28일 ~ 2025년 12월 28일,2025년 11월 19일  ~ 2025년 12월 22일,,전국,
4124,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4124,제9회 완주로컬푸드전국배드민턴대회,2025년 12월 20일 ~ 2025년 12월 21일,2025년 11월 24일  ~ 2025년 12월 15일,,전국,
4126,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4126,2025 클럽대항 청소년생활체육 배드민턴대회,2025년 12월 20일 ~ 2025년 12월 20일,0000년 0월 0일  ~ 0000년 0월 0일,대전과학기술대학교 창대체육관,대전,
4127,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4127,제26회 서산시협회장기 배드민턴대회,2025년 12월 13일 ~ 2025년 12월 14일,0000년 0월 0일  ~ 0000년 0월 0일,서산시민체육관,충남-서산시,
4128,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4128,제1회 동해시민 한마음 배드민턴 대회,2025년 12월 21일 ~ 2025년 12월 21일,0000년 0월 0일  ~ 0000년 0월 0일,,전국,
4129,http://www.badmintongame.co.kr/game/game_view.html?ga_id=4129,2025 진천군 배드민턴협회주관 자체루키배드민턴대회,2025년 12월 6일 ~ 2025년 12월 6일,0000년 0월 0일  ~ 0000년 0월 0일,,충북-진천군,
